"Source Item Name","Teapplix SKU",Memo
"
B0GFY87GJM",NS5336,
"1 chair ",5012W,
2050-B,2050B,
2050B-11,2050B,
2050B-11-LA,2050B,
2050b-fba,2050B,
2050b-n,2050B,
2050b-n-LA,2050B,
2050C-LA,2050c,
2050C-n,2050c,
2050C-n-LA,2050c,
2050cc,2050c,
2050W,2050w-n,
2051W-LA,2051w,
2060w-LA,2060w,
24RCC5003,5003-24RCC-4,
"30-inch Tabouret Metal Counter Bar Stools Glossy Black Studio Stool 1, 2, 4[(set of 4) bar stool][(set of 4) bar stool]",5003B-4,
3000B-B,3000B,
3000B-B-LA,3000B,
3000C-B,3000C,
3000C-B-LA,3000C,
3000C-LA,3000C,
3000w-B,3000w,
3000w-B-LA,3000w,
3000w-n,3000w,
3000w-n-LA,3000w,
3000W1,3000w,
3000W1-LA,3000w,
3010w-LA,3010w,
3050white,3050w,
4000DB,2050c,
5003-18CC-4-LA,5003-18CC-4,
5003-18DM-4-LA,5003-18DM-4,
5003-24BG-4-LA,5003-24BG-4,
5003-24CC-four,5003-24CC-4,
5003-24CC4,5003-24CC-4,
5003-24DC-four,5003-24DC-4,
5003-24DC-four-1,5003-24DC-4,
5003-24DDM-four,5003-24DDM-4,
5003-24DM-1,5003-24DM,
5003-24DM-1-LA,5003-24DM,
5003-24DM-four,5003-24DM-4,
5003-24DM4,5003-24DM-4,
5003-24dmA,5003-24DM,
5003-24MCC-1,5003-24MCC,
5003-24MCC-1-LA,5003-24MCC,
5003-24MCC-four,5003-24MCC-4,
5003-24MCC-TWO,5003-24MCC-2,
5003-24MDM-1,5003-24MDM,
5003-24MDM-1-LA,5003-24MDM,
5003-24MDM-4-LA,5003-24MDM-4,
5003-24MDM-four,5003-24MDM-4,
5003-24MDM-four-LA,5003-24MDM-4,
5003-24MDM-one,5003-24MDM,
5003-24MDM-two,5003-24MDM-2,
5003-24MDM-two-LA,5003-24MDM-2,
5003-24MDM4,5003-24MDM-4,
5003-24MGM-1,5003-24MGM,
5003-24MGM-1-LA,5003-24MGM,
5003-24MGM-4-LA,5003-24MGM-4,
5003-24MGM-four,5003-24MGM-4,
5003-24RCC-4-LA,5003-24RCC-4,
5003-30MDM-4,5003MDM-4,
5003CC-four,5003CC-4,
5003CC-two,5003CC-2,
5003CC4,5003CC-4,
5003DM-1,5003DM,
5003DM-1-LA,5003DM,
5003DM-2-LA,5003DM-2,
5003DM-2p,5003DM-2,
5003DM-4-LA,5003DM-4,
5003DM-four-1,5003DM-4,
5003DM4,5003DM-4,
5003MCC-1,5003MCC,
5003MCC-24-2,5003-24MCC-2,
5003MCC-2p,5003MCC-2,
5003MCC-four-1,5003MCC-4,
5003MCC4,5003MCC-4,
5003MDM-1,5003MDM,
5003MDM-four,5003MDM-4,
5003MDM-two,5003MDM-2,
5003MDM4,5003MDM-4,
5003MGM-1,5003MGM,
5003MGM-1-LA,5003MGM,
5003MGM-four,5003MGM-4,
5003MGM-two,5003MGM-2,
5003MGM4,5003MGM-4,
5003S,5003S-2,
5009C,5010c,
5009G-4C,5009D-4,
5010b-fba,5010B,
5010bl,5010B,
5010c-2,5010c,
5010c-2-LA,5010c,
5010c-a,5010c,
5010c-a-LA,5010c,
5010c-fba,5010c,
5011br-fba,5011BR,
5011BR-LA,5011BR,
5020W,5020W-1,
5020W-1-LA,5020W-1,
5020W-2-LA,5020W-2,
5020W-4-LA,5020W-4,
5020w-4w,5020W-4,
5029B-2-LA,5029B-2,
5029B-A,5029b,
5029B-A-TWO-LA,5029B-A-TWO,
5029B-LA,5029b,
5029BBB,5029b,
5029W-2-LA,5029W,
5029w-22,5029W,
5029W-A,5029W,
5029W-A-LA,5029W,
5029W-A-TWO,5029w-2,
5029W-A-TWO-LA,5029w-2,
5029W-LA,5029W,
5029w11,5029W,
5029wW,5029W,
5031AW-4-LA,5031AW-4,
5031BG-4-LA,5031BG-4,
5031CC-4-LA,5031CC-4,
5031DM-1,5031DM,
5031DM-1-LA,5031DM,
5031DM-4-1,5031DM-4,
5031DM-four,5031DM-4,
5031DM-four-1,5031DM-4,
5031DM-four-1-LA,5031DM-4,
