"Item Type","Scan Control","Teapplix SKU","Item Title",Category,"Walmart Category Id","Walmart Tax Code",Supplier,"Supplier SKU",Asin,UPC,FNSKU,Location,Xref3,"Image Small","Image Large","Default Price","MSRP Price","MAP Price","Customs Value","Customs Description","Localized Customs Description","Harmonized Tariff Code","Sales Rep","Commission Rate",Date,"Dangerous Goods Type","Country of Origin",Brand,Model,Manufacturer,"Manufacturer Part Number","Has Category",Active,Weight,"Weight Unit","Initial Qty"
0,normal,'5215,"Outdoor Conversation Garden Furniture Sets (Aqua/Dark Brown) Patio Porch Furniture 3 Pieces PE Rattan Patio Porch Wicker Chairs Tempered Glass Table",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/products/PHOTO-2022-09-13-17-33-44_3.jpg?v=1669401146,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,'5216,"Outdoor Conversation Garden Furniture Sets (Tan/Navy Blue) Patio Furniture 3 Pieces PE Rattan Wicker Chairs Patio Glass Tempered Glass Table",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/products/PHOTO-2022-09-13-17-33-44_2.jpg?v=1669401114,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,'5217,"Dark Brown Patio Outdoor Furniture Conversation Sets With Porch Chairs Set Of 2 Chairs Wicker Bistro Set",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/products/52179.jpg?v=1673553592,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,'5218,"Patio Outdoor Furniture Conversation Sets With Porch Chairs Set Of 2 Chairs Wicker Bistro Set",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/products/PHOTO-2022-09-13-17-33-45_1.jpg?v=1669403928,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,'5245,"Foldable Outdoor Chaise Pool Lounge Chair Folding Wicker Rattan Sun bed Patio Couch Reclining lounger Adjustable Padded Backrest Pillow Assembled - ",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/files/5245_9.jpg?v=1690320676,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,'5246,"BTExpert Outdoor Wicker Conversation 3 piece Bistro Set Garden Patio Yard Porch Furniture Space Saving Pe Rattan Two Chairs Cushions Side storage ",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/files/5246_6.jpg?v=1690324705,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,'5268,"BTExpert Outdoor Wicker Conversation 3 piece Bistro Set Garden Patio Yard Porch Furniture Space Saving Pe Rattan 2 Chairs Cushions Side storage Glass ",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2076/2287/files/5268_3.jpg?v=1690310218,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,1001BU-BEECH-KD,"Velet Upholstered Side Dining Chair with Metal Leg(Blue velet+Beech Wooden Printing Leg),KD backrest",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/8182/8508/products/e930748869344f72a023ef972c2a62d5.jpg?v=1654032340,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,1001BU-WAL-KD,"Velet Upholstered Side Dining Chair with Metal Leg(Blue velet+Walnut Wooden Printing Leg),KD backrest",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/8182/8508/products/865ea9b3bf734716ac2bad0c0404a518.jpg?v=1654032309,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,1001FABBE-BEECHKD,"Fabric Upholstered Side Dining Chair with Metal Leg(Beige fabric+Beech Wooden Printing Leg),KD backrest",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/8182/8508/products/7e40c239003742f3904263d9fc5b167e.jpg?v=1654030996,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,1001FABGY-BEECHKD,"Fabric Upholstered Side Dining Chair with Metal Leg(Gray fabric+Beech Wooden Printing Leg),KD backrest",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/8182/8508/products/93d2bb7ec8ab404a8de5fc84fc2d85ee.jpg?v=1654030858,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,1001YE-BEECH-KD,"Velet Upholstered Side Dining Chair with Metal Leg(Yellow velet+Beech Wooden Printing Leg),KD backrest",,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0422/8182/8508/products/605e39e50c124585b8a60cc22e5b7fd4.jpg?v=1654030801,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10095432811656810402,"BTEXPERT Ankle Diabetic Socks for Men & Women, Non-Binding Cotton for Neuropathy, Cushioned Moisture-Wicking Loose Fit, 3 Pairs, Size 10-13",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/NS5323-3-1A.jpg?v=1776811651,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10097292835086829751,"BTEXPERT Mens Rhinestone Jeans Slim Fit Straight leg Denim Pants Vintage Wash Embellished Floral Design Designer Fashion Streetwear Casual Statement ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M3-LTTNT-1A_0fb815de-60dc-4a6a-8930-2fb79d96ded9.png?v=1777491885,,,,,,,,,,,0,,,,,,1,1,,,
0,normal,10112974930449076414,"BTEXPERT Distressed Denim Jeans Classic Clean Minimal Design Everyday Casual Comfort Loose Fit Straight Leg Basic Essential Pants Light Wash M6 Blue ",,,,,,,,,,,,http://www.btexpert.com/cdn/shop/files/M6-SBLUE-1A.png?v=1776378884,,,,,,,,,,,0,,,,,,1,1,,,
